"web-scraper-order";"foto1,foto2";"produkt";"kod";"opis";"foto1";"foto2";"foto3";"foto4";"waga";"kategoria";"cena"
"1521779455-153";"https://sklep.bestdiamonds.pl/userdata/gfx/1c8e650f45d8165b94d49fe050e671f7.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/1f866233cb565a6b24451ec76baec506.jpg";"Pierścionek EY-303 rubin";"EY-303 rubin";"Kamień centralny: rubin 0,60ct
Kamienie boczne: brylanty 0,19ct H/Si";"/userdata/gfx/1c8e650f45d8165b94d49fe050e671f7.jpg";"/userdata/gfx/1f866233cb565a6b24451ec76baec506.jpg";"/userdata/gfx/fe4a8060aea5509408cbf3a51b1856dc.jpg";"/userdata/gfx/53480666e70b716b03548720b9de1fe3.jpg";"Waga: 2,50 - 2,90g";"z rubinem";"1200"
"1521779545-196";"https://sklep.bestdiamonds.pl/userdata/gfx/5cfd5af00200198334bc0f50e4dbeb5d.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/7ac82575a0492bb4dd3495a891bda131.jpg";"Pierścionek EY-274 ametyst";"EY-274 ametyst";"Kamień centralny: ametyst 0,90 ct
Kamienie boczne: brylanty 0,38 ct H/Si";"/userdata/gfx/5cfd5af00200198334bc0f50e4dbeb5d.jpg";"/userdata/gfx/7ac82575a0492bb4dd3495a891bda131.jpg";"/userdata/gfx/16a8a81f3fd1d25bd3fbe3032a7a3d3a.jpg";"/userdata/gfx/03d856eeb6be85591772907990b38066.jpg";"Waga: 3,60 - 4,00g";"z ametystem";"1850"
"1521779794-314";"https://sklep.bestdiamonds.pl/userdata/gfx/cea11619d61a2b3bc4dda0ab1dbbf683.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/e8fb962c9bf92a6ee0eebcc8ffcd94e3.jpg";"Pierścionek EY-198 0,42ct";"EY-198 0,42ct";"Kamień centralny: brylant 0,30 ct H/Si
Kamienie boczne: brylanty 0,12 ct H/Si";"/userdata/gfx/cea11619d61a2b3bc4dda0ab1dbbf683.jpg";"/userdata/gfx/e8fb962c9bf92a6ee0eebcc8ffcd94e3.jpg";"/userdata/gfx/7f6816d52ca68f7a7f6975185517ee62.jpg";"/userdata/gfx/87469a7edf4aecc27096c27486762cc9.jpg";"Waga: 2,10 - 2,50g";"z brylantami";"2450"
"1521779436-144";"https://sklep.bestdiamonds.pl/userdata/gfx/cf1e087584dac2d417720ab828421cbc.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/4c087d8a430cda10d4d7e6d384a79488.jpg";"Pierścionek EY-307 topaz";"EY-307 topaz";"Kamień centralny: topaz 2,60ct
Kamienie boczne: brylanty 0,41ct H/Si";"/userdata/gfx/cf1e087584dac2d417720ab828421cbc.jpg";"/userdata/gfx/4c087d8a430cda10d4d7e6d384a79488.jpg";"/userdata/gfx/b7a8559a44273547bcede6efff3ab07a.jpg";"/userdata/gfx/1f786b188c229da254563150f34fdd7a.jpg";"Waga: 5,80 - 6,20g";"z topazem";"2300"
"1521779935-378";"https://sklep.bestdiamonds.pl/userdata/gfx/c1018fae10f1a9913073d0398f62f979.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/b267fb2417ffcc92fdfa6557fa5232a4.jpg";"Pierścionek EY-14 ametyst";"EY-14 ametyst";"Kamień centralny: ametyst 0,50 ct
Kamienie boczne: brylanty 0,02 ct H/Si";"/userdata/gfx/c1018fae10f1a9913073d0398f62f979.jpg";"/userdata/gfx/b267fb2417ffcc92fdfa6557fa5232a4.jpg";"/userdata/gfx/214bab7dfe642035bb60c1be0f812363.jpg";"/userdata/gfx/8e8e7d9e40dd761b686c973401757819.jpg";"Waga: 2,30 - 2,70g";"z ametystem";"530"
"1521780188-494";"https://sklep.bestdiamonds.pl/userdata/gfx/fd0993a81e39d110c3ccd62ced66b009.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/ff175c9b607893d7f35fbd8aacebd45a.jpg";"Pierścionek EY-373 0,09ct";"EY-373 0,09ct";"Brylant 0,09ct H/Si";"/userdata/gfx/fd0993a81e39d110c3ccd62ced66b009.jpg";"/userdata/gfx/ff175c9b607893d7f35fbd8aacebd45a.jpg";"/userdata/gfx/c501f884b6dbaf12de682cd113c2d941.jpg";"/userdata/gfx/6a2704b52fe4eba196883581603e953f.jpg";"Waga: 2,50 - 2,90g";"z brylantami";"620"
"1521779187-28";"https://sklep.bestdiamonds.pl/userdata/gfx/429d76eea728d754def5265b5786916c.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/a093daed599998575b595fcaf9bda791.jpg";"Pierścionek EY-77 szmaragd";"EY-77 szmaragd";"Kamień centralny: szmaragd 0,40 ct
Kamienie boczne: brylanty 0,03 ct H/Si";"/userdata/gfx/429d76eea728d754def5265b5786916c.jpg";"/userdata/gfx/a093daed599998575b595fcaf9bda791.jpg";"/userdata/gfx/110b6e1ce60df1e1ba5a83f3eab250dc.jpg";"/userdata/gfx/b8467938d46b460651e38efe194900f8.jpg";"Waga: 1,70 - 2,10g";"z szmaragdem";"520"
"1521780156-479";"https://sklep.bestdiamonds.pl/userdata/gfx/4ca6ef9769beaeb5854acb926bff2871.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/9e4bf514aa8841baaa86ae3a8b67ff42.jpg";"Pierścionek EY-388 0,23ct";"EY-388 0,23ct";"Brylant 0,23ct H/Si";"/userdata/gfx/4ca6ef9769beaeb5854acb926bff2871.jpg";"/userdata/gfx/9e4bf514aa8841baaa86ae3a8b67ff42.jpg";"/userdata/gfx/59b9c9dd35df5042240fa6ce3fc1e5a4.jpg";"/userdata/gfx/2075e97361e548634412cf46eb31b745.jpg";"Waga: 2,70 - 3,10g";"z brylantami";"1430"
"1521779393-125";"https://sklep.bestdiamonds.pl/userdata/gfx/5f6916233658427bf1f83332fe9f3e97.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/725b2c6a2b8946be4ac40e95e7da8a0b.jpg";"Pierścionek EY-321 szafir";"EY-321 szafir";"Kamień centralny: szafir 0,05 ct
Kamienie boczne: brylanty 0,03 ct H/Si";"/userdata/gfx/5f6916233658427bf1f83332fe9f3e97.jpg";"/userdata/gfx/725b2c6a2b8946be4ac40e95e7da8a0b.jpg";"/userdata/gfx/8be9e2d437fd9bb954c0e6c17f955520.jpg";"/userdata/gfx/24f3d2e799c1df23ce9c808452125563.jpg";"Waga: 1,50 - 1,90g";"z szafirem";"360"
"1521779855-341";"https://sklep.bestdiamonds.pl/userdata/gfx/a7c79a04e0526a0d60e2f57dadf406eb.jpg,https://sklep.bestdiamonds.pl/userdata/gfx/704ed8539d2e37a405a65f1b4f93126a.jpg";"Pierścionek EY-181 0,04ct";"EY-181 0,04ct";"Brylant 0,04ct H/Si";"/userdata/gfx/a7c79a04e0526a0d60e2f57dadf406eb.jpg";"/userdata/gfx/704ed8539d2e37a405a65f1b4f93126a.jpg";"/userdata/gfx/1c9f632669fc24afbb21b24fcd6cc9ce.jpg";"/userdata/gfx/8cccfc823cfa543aa4602c2ccf95ce13.jpg";"Waga: 1,50 - 1,90g";"z brylantami";"390"
