ID;size_title;size;quantity
P3.1561;Rozmiar:select:0;14:0;1
P3.1561;Rozmiar:select:0;11:0;1
P3.1561;Rozmiar:select:0;13:0;2
P3.1561;Rozmiar:select:0;15:0;2
P3.1561;Rozmiar:select:0;18:0;1
P3.1561;Rozmiar:select:0;16:0;3
P3.1561;Rozmiar:select:0;19:0;3
P3.1561;Rozmiar:select:0;12:0;2
P3.1551;Rozmiar:select:0;18:0;3
P3.1551;Rozmiar:select:0;17:0;1
P3.1551;Rozmiar:select:0;20:0;1
P3.1551;Rozmiar:select:0;11:0;1
P3.1551;Rozmiar:select:0;19:0;1
P3.1551;Rozmiar:select:0;13:0;1
P3.1551;Rozmiar:select:0;12:0;1
P3.1551;Rozmiar:select:0;13:0;1
P3.1551;Rozmiar:select:0;10:0;1
P3.1551;Rozmiar:select:0;15:0;2
P3.1551;Rozmiar:select:0;14:0;1
P3.1551;Rozmiar:select:0;16:0;2
P3.1559;Rozmiar:select:0;17:0;3
P3.1559;Rozmiar:select:0;13:0;1
P3.1559;Rozmiar:select:0;14:0;2
P3.1559;Rozmiar:select:0;18:0;1
P3.1559;Rozmiar:select:0;19:0;1
P3.1559;Rozmiar:select:0;12:0;1
P3.1559;Rozmiar:select:0;15:0;1
P3.1559;Rozmiar:select:0;11:0;2
P3.1485;Rozmiar:select:0;16:0;1
P3.1485;Rozmiar:select:0;17:0;1
P3.1485;Rozmiar:select:0;13:0;1
P3.1485;Rozmiar:select:0;11:0;1
P3.1485;Rozmiar:select:0;12:0;1
P1.174;Rozmiar:select:0;17:0;1
P1.174;Rozmiar:select:0;13:0;1
P1.174;Rozmiar:select:0;10:0;1
P1.174;Rozmiar:select:0;12:0;1
P1.174;Rozmiar:select:0;18:0;1
P2.1001;Rozmiar:select:0;18:0;2
P2.1001;Rozmiar:select:0;14:0;2
P2.1001;Rozmiar:select:0;16:0;1
P2.1001;Rozmiar:select:0;10:0;1
P2.1278;Rozmiar:select:0;11:0;1
P2.1278;Rozmiar:select:0;12:0;1
P2.1278;Rozmiar:select:0;14:0;1
P2.1278;Rozmiar:select:0;19:0;1
P2.1278;Rozmiar:select:0;17:0;1
P2.1000;Rozmiar:select:0;12:0;1
P2.1000;Rozmiar:select:0;18:0;1
P2.1000;Rozmiar:select:0;10:0;1
P2.1000;Rozmiar:select:0;14:0;1
P2.1000;Rozmiar:select:0;16:0;1
P3.1521;Rozmiar:select:0;11:0;1
P3.1521;Rozmiar:select:0;14:0;1
P3.1521;Rozmiar:select:0;16:0;1
P3.1521;Rozmiar:select:0;12:0;1
P3.1521;Rozmiar:select:0;18:0;1
P2.1037;Rozmiar:select:0;14:0;1
P2.1037;Rozmiar:select:0;18:0;1
P2.1037;Rozmiar:select:0;12:0;1
P2.1037;Rozmiar:select:0;11:0;1
P2.1037;Rozmiar:select:0;10:0;1
P2.1037;Rozmiar:select:0;16:0;1
P2.1037;Rozmiar:select:0;15:0;2
P2.1037;Rozmiar:select:0;17:0;1
P2.1189;Rozmiar:select:0;12:0;1
P2.1189;Rozmiar:select:0;18:0;2
P2.1189;Rozmiar:select:0;16:0;1
P2.1189;Rozmiar:select:0;11:0;1
P2.1189;Rozmiar:select:0;17:0;1
P2.1189;Rozmiar:select:0;14:0;1
P2.1189;Rozmiar:select:0;10:0;1
P2.1260;Rozmiar:select:0;19:0;1
P2.1260;Rozmiar:select:0;11:0;1
P2.663;Rozmiar:select:0;13:0;1
P2.663;Rozmiar:select:0;10:0;1
P2.663;Rozmiar:select:0;17:0;1
P2.663;Rozmiar:select:0;14:0;1
P2.663;Rozmiar:select:0;19:0;1
P2.1292;Rozmiar:select:0;16:0;1
P2.1292;Rozmiar:select:0;10:0;1
P2.1292;Rozmiar:select:0;14:0;1
P2.1292;Rozmiar:select:0;12:0;1
P2.1034;Rozmiar:select:0;16:0;1
P2.1034;Rozmiar:select:0;18:0;1
P2.1034;Rozmiar:select:0;12:0;1
P2.1034;Rozmiar:select:0;10:0;1
P2.1034;Rozmiar:select:0;15:0;1
P3.1164;Rozmiar:select:0;17:0;2
P3.1164;Rozmiar:select:0;9:0;1
P3.1164;Rozmiar:select:0;13:0;1
P3.1164;Rozmiar:select:0;14:0;1
P3.1164;Rozmiar:select:0;19:0;1
P3.1164;Rozmiar:select:0;10:0;1
P3.1164;Rozmiar:select:0;12:0;1
P2.707;Rozmiar:select:0;10:0;1
P2.707;Rozmiar:select:0;18:0;1
P2.707;Rozmiar:select:0;12:0;1
P2.707;Rozmiar:select:0;16:0;1
P2.707;Rozmiar:select:0;14:0;1
P2.1086;Rozmiar:select:0;14:0;1
P2.1086;Rozmiar:select:0;12:0;1
P2.1086;Rozmiar:select:0;18:0;1
P2.1086;Rozmiar:select:0;16:0;1
P2.1036;Rozmiar:select:0;16:0;1
P2.1036;Rozmiar:select:0;18:0;1
P2.1036;Rozmiar:select:0;14:0;1
P2.1036;Rozmiar:select:0;12:0;1
P2.1036;Rozmiar:select:0;15:0;1
P3.1454;Rozmiar:select:0;14:0;1
P3.1454;Rozmiar:select:0;12:0;1
P3.1454;Rozmiar:select:0;19:0;1
P3.1454;Rozmiar:select:0;17:0;1
P3.1454;Rozmiar:select:0;9:0;1
P2.1337;Rozmiar:select:0;14:0;1
P2.1337;Rozmiar:select:0;12:0;1
P2.1337;Rozmiar:select:0;10:0;1
P2.1337;Rozmiar:select:0;18:0;1
P2.1337;Rozmiar:select:0;16:0;1
P3.1539;Rozmiar:select:0;17:0;1
P3.1539;Rozmiar:select:0;9:0;1
P3.1539;Rozmiar:select:0;18:0;1
P3.1539;Rozmiar:select:0;12:0;1
P3.1535;Rozmiar:select:0;11:0;1
P3.1535;Rozmiar:select:0;16:0;1
P3.1535;Rozmiar:select:0;17:0;1
P3.1535;Rozmiar:select:0;18:0;1
P3.1535;Rozmiar:select:0;13:0;2
P3.1535;Rozmiar:select:0;10:0;1
P3.1535;Rozmiar:select:0;12:0;1
P3.1535;Rozmiar:select:0;19:0;1
P3.1535;Rozmiar:select:0;15:0;2
P3.1535;Rozmiar:select:0;14:0;2
P1.76;Rozmiar:select:0;17:0;1
P1.76;Rozmiar:select:0;14:0;1
P1.76;Rozmiar:select:0;10:0;1
P1.76;Rozmiar:select:0;12:0;1
P2.1134;Rozmiar:select:0;16:0;1
P2.1134;Rozmiar:select:0;10:0;1
P2.1134;Rozmiar:select:0;17:0;1
P2.1134;Rozmiar:select:0;18:0;1
P2.1134;Rozmiar:select:0;13:0;1
P3.1076;Rozmiar:select:0;10:0;1
P3.1076;Rozmiar:select:0;12:0;1
P3.1076;Rozmiar:select:0;11:0;1
P3.1076;Rozmiar:select:0;14:0;1
P3.1076;Rozmiar:select:0;17:0;1
P3.1076;Rozmiar:select:0;13:0;1
P3.1076;Rozmiar:select:0;19:0;1
P1.802;Rozmiar:select:0;15:0;1
P1.802;Rozmiar:select:0;16:0;1
P1.802;Rozmiar:select:0;11:0;1
P1.802;Rozmiar:select:0;14:0;1
P2.509;Rozmiar:select:0;18:0;1
P2.509;Rozmiar:select:0;14:0;1
P2.509;Rozmiar:select:0;10:0;1
P2.509;Rozmiar:select:0;12:0;1
P2.509;Rozmiar:select:0;16:0;1
P3.1477;Rozmiar:select:0;17:0;1
P3.1477;Rozmiar:select:0;18:0;1
P3.1477;Rozmiar:select:0;9:0;1
P3.1477;Rozmiar:select:0;13:0;1
P1.607;Rozmiar:select:0;17:0;1
P1.607;Rozmiar:select:0;11:0;2
P1.607;Rozmiar:select:0;16:0;1
P1.607;Rozmiar:select:0;15:0;1
P1.607;Rozmiar:select:0;13:0;1
P1.607;Rozmiar:select:0;12:0;1
P1.607;Rozmiar:select:0;14:0;1
P2.1071;Rozmiar:select:0;16:0;1
P2.1071;Rozmiar:select:0;12:0;2
P2.1071;Rozmiar:select:0;14:0;1
P2.1338;Rozmiar:select:0;18:0;1
P2.1338;Rozmiar:select:0;13:0;1
P2.1338;Rozmiar:select:0;17:0;1
P2.1338;Rozmiar:select:0;11:0;1
P2.966;Rozmiar:select:0;9:0;1
P2.966;Rozmiar:select:0;14:0;1
P2.966;Rozmiar:select:0;12:0;1
P2.1250;Rozmiar:select:0;15:0;1
P2.1250;Rozmiar:select:0;10:0;1
P2.1250;Rozmiar:select:0;12:0;1
P2.1250;Rozmiar:select:0;17:0;1
P2.1250;Rozmiar:select:0;14:0;1
P1.287;Rozmiar:select:0;16:0;1
P1.287;Rozmiar:select:0;12:0;1
P1.287;Rozmiar:select:0;13:0;1
P1.287;Rozmiar:select:0;14:0;1
P1.287;Rozmiar:select:0;18:0;1
P1.287;Rozmiar:select:0;11:0;1
P1.287;Rozmiar:select:0;10:0;1
P1.287;Rozmiar:select:0;17:0;1
P1.287;Rozmiar:select:0;19:0;1
P2.1126;Rozmiar:select:0;12:0;1
P2.1126;Rozmiar:select:0;10:0;1
P2.1126;Rozmiar:select:0;18:0;1
P2.1126;Rozmiar:select:0;14:0;1
P1.625;Rozmiar:select:0;11:0;1
P1.625;Rozmiar:select:0;14:0;1
P1.625;Rozmiar:select:0;10:0;1
P1.625;Rozmiar:select:0;13:0;1
P3.1562;Rozmiar:select:0;15:0;1
P3.1562;Rozmiar:select:0;18:0;2
P3.1562;Rozmiar:select:0;12:0;2
P3.1562;Rozmiar:select:0;17:0;3
P3.1562;Rozmiar:select:0;10:0;1
P3.1562;Rozmiar:select:0;14:0;1
P3.1530;Rozmiar:select:0;12:0;1
P3.1530;Rozmiar:select:0;11:0;1
P3.1530;Rozmiar:select:0;18:0;1
P3.1530;Rozmiar:select:0;14:0;1
P3.1530;Rozmiar:select:0;16:0;1
P2.1079;Rozmiar:select:0;20:0;1
P2.1079;Rozmiar:select:0;11:0;1
P2.1079;Rozmiar:select:0;17:0;1
P2.1079;Rozmiar:select:0;15:0;1
P2.1096;Rozmiar:select:0;12:0;1
P2.1096;Rozmiar:select:0;14:0;1
P2.1096;Rozmiar:select:0;15:0;1
P2.1096;Rozmiar:select:0;16:0;1
P2.1096;Rozmiar:select:0;19:0;1
P3.1560;Rozmiar:select:0;11:0;2
P3.1560;Rozmiar:select:0;14:0;1
P3.1560;Rozmiar:select:0;17:0;2
P3.1560;Rozmiar:select:0;12:0;1
P3.1560;Rozmiar:select:0;16:0;1
P3.1560;Rozmiar:select:0;19:0;1
P3.1560;Rozmiar:select:0;15:0;2
P3.1560;Rozmiar:select:0;13:0;1
P3.1560;Rozmiar:select:0;10:0;1
P3.1560;Rozmiar:select:0;18:0;1
P3.1560;Rozmiar:select:0;20:0;1
P2.1069;Rozmiar:select:0;19:0;1
P2.1069;Rozmiar:select:0;15:0;1
P2.1069;Rozmiar:select:0;13:0;1
P2.1069;Rozmiar:select:0;16:0;1
P3.1532;Rozmiar:select:0;17:0;1
P3.1532;Rozmiar:select:0;11:0;2
P3.1532;Rozmiar:select:0;16:0;1
P3.1532;Rozmiar:select:0;13:0;1
P3.1532;Rozmiar:select:0;19:0;1
P3.1532;Rozmiar:select:0;18:0;1
P3.1532;Rozmiar:select:0;15:0;1
P1.760;Rozmiar:select:0;10:0;1
P1.760;Rozmiar:select:0;19:0;1
P1.760;Rozmiar:select:0;16:0;1
P1.760;Rozmiar:select:0;13:0;1
P1.760;Rozmiar:select:0;17:0;1
P1.760;Rozmiar:select:0;14:0;2
P1.760;Rozmiar:select:0;11:0;1
P1.760;Rozmiar:select:0;18:0;1
P2.1244;Rozmiar:select:0;10:0;1
P2.1244;Rozmiar:select:0;18:0;1
P2.1244;Rozmiar:select:0;14:0;1
P2.1244;Rozmiar:select:0;13:0;1
P2.1244;Rozmiar:select:0;16:0;1
P2.1244;Rozmiar:select:0;12:0;1
P2.1244;Rozmiar:select:0;15:0;1
P2.1244;Rozmiar:select:0;17:0;1
P2.1244;Rozmiar:select:0;9:0;1
P3.1449;Rozmiar:select:0;15:0;1
P3.1449;Rozmiar:select:0;17:0;1
P3.1449;Rozmiar:select:0;10:0;1
P3.1449;Rozmiar:select:0;14:0;1
P3.1449;Rozmiar:select:0;12:0;1
P3.1520;Rozmiar:select:0;16:0;1
P3.1520;Rozmiar:select:0;12:0;1
P3.1520;Rozmiar:select:0;11:0;1
P3.1520;Rozmiar:select:0;18:0;1
P2.1343;Rozmiar:select:0;14:0;1
P2.1343;Rozmiar:select:0;11:0;1
P2.1343;Rozmiar:select:0;17:0;2
P2.1343;Rozmiar:select:0;13:0;1
P2.1343;Rozmiar:select:0;10:0;1
P2.1343;Rozmiar:select:0;15:0;1
P2.1042;Rozmiar:select:0;14:0;1
P2.1042;Rozmiar:select:0;18:0;1
P2.1042;Rozmiar:select:0;13:0;1
P1.71;Rozmiar:select:0;12:0;1
P1.71;Rozmiar:select:0;17:0;1
P1.71;Rozmiar:select:0;14:0;1
P1.71;Rozmiar:select:0;11:0;1
P1.71;Rozmiar:select:0;18:0;1
P3.1536;Rozmiar:select:0;14:0;1
P3.1536;Rozmiar:select:0;12:0;1
P3.1536;Rozmiar:select:0;10:0;1
P1.560;Rozmiar:select:0;18:0;1
P1.560;Rozmiar:select:0;17:0;1
P1.560;Rozmiar:select:0;15:0;1
P1.560;Rozmiar:select:0;19:0;1
P1.560;Rozmiar:select:0;14:0;1
P1.560;Rozmiar:select:0;11:0;1
P1.560;Rozmiar:select:0;12:0;1
P1.560;Rozmiar:select:0;16:0;1
P1.34;Rozmiar:select:0;18:0;1
P1.34;Rozmiar:select:0;16:0;1
P1.34;Rozmiar:select:0;13:0;1
P1.34;Rozmiar:select:0;11:0;1
P1.34;Rozmiar:select:0;15:0;1
P2.1070;Rozmiar:select:0;18:0;1
P2.1070;Rozmiar:select:0;10:0;1
P2.1070;Rozmiar:select:0;12:0;1
P2.1070;Rozmiar:select:0;14:0;1
P2.1070;Rozmiar:select:0;16:0;1
P1.601;Rozmiar:select:0;14:0;1
P1.601;Rozmiar:select:0;12:0;1
P1.601;Rozmiar:select:0;11:0;1
P1.601;Rozmiar:select:0;16:0;1
P1.601;Rozmiar:select:0;18:0;1
P3.1554;Rozmiar:select:0;19:0;1
P3.1554;Rozmiar:select:0;16:0;2
P3.1554;Rozmiar:select:0;15:0;1
P3.1554;Rozmiar:select:0;10:0;1
P3.1554;Rozmiar:select:0;12:0;2
P3.1554;Rozmiar:select:0;11:0;1
P3.1554;Rozmiar:select:0;13:0;1
P3.1554;Rozmiar:select:0;20:0;1
P3.1554;Rozmiar:select:0;9:0;1
P3.1554;Rozmiar:select:0;18:0;2
P3.1554;Rozmiar:select:0;17:0;1
P3.1554;Rozmiar:select:0;14:0;2
P2.1344;Rozmiar:select:0;14:0;1
P2.1344;Rozmiar:select:0;16:0;1
P2.1344;Rozmiar:select:0;18:0;1
P2.1344;Rozmiar:select:0;11:0;1
P2.1344;Rozmiar:select:0;13:0;1
P2.1344;Rozmiar:select:0;12:0;1
P2.1344;Rozmiar:select:0;17:0;1
P2.1344;Rozmiar:select:0;19:0;1
P1.683;Rozmiar:select:0;16:0;1
P1.683;Rozmiar:select:0;10:0;1
P1.683;Rozmiar:select:0;12:0;1
P1.683;Rozmiar:select:0;18:0;1
P1.683;Rozmiar:select:0;14:0;1
P2.1249;Rozmiar:select:0;14:0;1
P2.1249;Rozmiar:select:0;12:0;1
P2.1249;Rozmiar:select:0;11:0;1
P2.1249;Rozmiar:select:0;10:0;1
P2.1249;Rozmiar:select:0;18:0;1
P2.1249;Rozmiar:select:0;15:0;1
P2.1249;Rozmiar:select:0;13:0;1
P2.1249;Rozmiar:select:0;17:0;2
P2.1336;Rozmiar:select:0;14:0;1
P2.1336;Rozmiar:select:0;11:0;1
P2.1336;Rozmiar:select:0;16:0;1
P2.1336;Rozmiar:select:0;13:0;1
P2.1336;Rozmiar:select:0;18:0;1
P2.949;Rozmiar:select:0;13:0;1
P2.949;Rozmiar:select:0;11:0;1
P2.949;Rozmiar:select:0;10:0;1
P2.949;Rozmiar:select:0;15:0;1
P2.949;Rozmiar:select:0;9:0;1
P2.1133;Rozmiar:select:0;14:0;1
P2.1133;Rozmiar:select:0;12:0;1
P2.1133;Rozmiar:select:0;11:0;1
P2.1133;Rozmiar:select:0;16:0;1
P2.1133;Rozmiar:select:0;13:0;1
